,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,CJ McCollum,36:40,9,18,.500,5,9,.556,0,0,,0,2,2,7,1,0,2,2,23,17.7,+7
1,Zion Williamson,36:29,13,14,.929,0,0,,10,14,.714,1,6,7,6,2,0,4,2,36,33.7,+18
2,Herbert Jones,35:25,2,4,.500,2,3,.667,1,2,.500,0,1,1,2,4,1,1,3,7,8.8,-2
3,Trey Murphy III,31:45,1,12,.083,0,9,.000,6,8,.750,0,8,8,2,1,4,1,1,8,5.4,+13
4,Jonas Valančiūnas,19:51,6,10,.600,0,1,.000,1,3,.333,1,5,6,0,0,1,1,5,13,7.5,+6
5,Larry Nance Jr.,26:45,4,4,1.000,0,0,,1,2,.500,0,3,3,2,0,0,0,3,9,8.5,+9
6,Naji Marshall,24:06,5,10,.500,4,7,.571,0,0,,2,6,8,3,0,0,1,2,14,12.5,+10
7,Jose Alvarado,21:27,1,6,.167,0,3,.000,2,2,1.000,2,3,5,3,0,1,0,2,4,4.5,+7
8,Jordan Hawkins,6:08,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-0.1,-1
9,Jeremiah Robinson-Earl,1:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
