,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Giannis Antetokounmpo,33:39,13,18,.722,0,0,,4,6,.667,8,11,19,4,0,1,3,3,30,30.0,+7
1,Damian Lillard,33:06,4,12,.333,2,5,.400,1,1,1.000,0,6,6,5,0,0,1,2,11,7.7,+18
2,Khris Middleton,27:18,5,11,.455,1,5,.200,0,0,,2,8,10,10,0,1,5,3,11,10.6,+10
3,Malik Beasley,25:22,3,6,.500,2,5,.400,0,0,,0,2,2,0,1,0,1,2,8,4.8,+7
4,Brook Lopez,22:35,5,11,.455,2,5,.400,2,3,.667,1,2,3,2,1,1,0,1,14,11.9,+14
5,Bobby Portis,27:37,7,13,.538,0,2,.000,1,2,.500,1,5,6,2,3,0,3,3,15,10.7,+17
6,Pat Connaughton,19:07,5,9,.556,1,5,.200,0,0,,0,1,1,1,0,0,1,2,11,5.9,+17
7,Jae Crowder,17:56,4,4,1.000,2,2,1.000,0,0,,0,2,2,2,1,0,0,1,10,11.4,+10
8,Patrick Beverley,14:57,0,2,.000,0,1,.000,1,2,.500,1,3,4,4,0,2,0,1,1,4.6,+12
9,Danilo Gallinari,4:09,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,1,0,3,2.0,+4
10,MarJon Beauchamp,4:09,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,+4
11,Andre Jackson Jr.,3:39,0,0,,0,0,,0,0,,2,1,3,2,0,0,1,1,0,1.7,+3
12,Chris Livingston,3:13,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1
13,Thanasis Antetokounmpo,3:13,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,+1
