,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jeremy Sochan,35:37,.613,.553,.368,.263,5.7,53.9,27.9,5.1,1.4,2.5,0.0,26.9,125,99,8.2
1,Devin Vassell,35:03,.523,.500,.375,.083,0.0,13.7,6.3,38.4,4.2,0.0,0.0,32.0,111,100,9.9
2,Zach Collins,30:05,.541,.500,.214,.429,6.8,12.0,9.2,16.6,1.6,0.0,15.3,29.5,99,106,-2.1
3,Tre Jones,27:03,.250,.250,.000,.000,3.8,8.9,6.1,18.6,1.8,0.0,0.0,6.7,97,106,-4.5
4,Julian Champagnie,20:05,.510,.400,.400,.400,0.0,0.0,0.0,0.0,2.4,0.0,14.5,15.5,86,105,-7.9
5,Keldon Johnson,30:50,.709,.667,.222,.222,0.0,11.7,5.4,24.2,1.6,0.0,0.0,14.5,148,106,7.5
6,Blake Wesley,20:57,.357,.357,.286,.000,0.0,11.5,5.3,19.4,2.3,0.0,12.5,17.2,75,105,-4.6
7,Dominick Barlow,17:50,.000,.000,.000,.000,0.0,20.2,9.3,0.0,0.0,0.0,66.7,7.6,0,108,-16.3
8,Cedi Osman,15:01,.717,.750,1.000,.500,0.0,16.0,7.3,0.0,3.2,0.0,0.0,14.7,132,101,3.8
9,Malaki Branham,7:29,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0,111,-28.4
10,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,
11,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,
