,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,CJ McCollum,41:23,.454,.417,.458,.125,0.0,17.8,8.5,19.5,0.0,0.0,0.0,27.9,98,127,-3.0
1,Trey Murphy III,38:53,.766,.800,.600,.100,0.0,19.0,9.0,7.8,0.0,2.4,0.0,12.3,142,124,3.9
2,Zion Williamson,38:30,.678,.588,.000,.588,2.9,12.8,7.6,47.0,3.9,0.0,18.9,31.3,124,118,9.3
3,Herbert Jones,30:57,.546,.417,.667,.500,0.0,8.0,3.8,18.9,1.6,3.0,12.0,24.5,106,122,-1.3
4,Jonas Valančiūnas,10:30,.564,.500,.250,.750,21.3,46.9,33.4,15.3,0.0,0.0,0.0,23.1,136,122,5.4
5,Larry Nance Jr.,32:33,.500,.500,.000,.000,3.4,3.8,3.6,0.0,1.5,0.0,0.0,5.6,109,125,-5.0
6,Naji Marshall,23:22,.583,.583,.667,.000,0.0,21.1,10.0,6.3,2.1,0.0,14.3,13.7,96,121,-3.7
7,Jose Alvarado,16:07,.571,.571,.857,.000,6.9,15.3,10.9,29.7,3.1,0.0,0.0,19.8,129,120,7.8
8,Jeremiah Robinson-Earl,4:57,.000,.000,1.000,.000,0.0,74.6,35.5,0.0,0.0,0.0,50.0,18.4,0,118,-20.4
9,Jordan Hawkins,2:48,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,300,129,30.0
10,Matt Ryan,Did Not Play,,,,,,,,,,,,,,,
11,Cody Zeller,Did Not Play,,,,,,,,,,,,,,,
