,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Marcus Sasser,32:59,2,11,.182,1,6,.167,2,2,1.000,0,4,4,5,1,0,1,4,7,3.2,-5
1,Chimezie Metu,32:22,3,8,.375,1,3,.333,1,1,1.000,2,5,7,2,2,1,2,4,8,7.0,-13
2,Tosan Evbuomwan,29:11,1,3,.333,1,3,.333,0,2,.000,1,3,4,0,0,0,0,1,3,1.7,-9
3,Cade Cunningham,28:41,11,23,.478,3,8,.375,7,8,.875,0,1,1,2,1,0,1,0,32,21.6,-6
4,Jalen Duren,25:17,4,6,.667,0,0,,3,4,.750,3,8,11,4,0,0,3,1,11,11.9,0
5,Troy Brown Jr.,30:21,2,8,.250,1,4,.250,0,0,,1,2,3,2,2,0,1,0,5,3.9,-10
6,James Wiseman,22:43,2,4,.500,0,0,,7,8,.875,0,4,4,0,0,0,1,1,11,8.4,-15
7,Malachi Flynn,19:19,6,9,.667,2,3,.667,0,0,,2,3,5,0,0,0,2,2,14,9.6,-9
8,Evan Fournier,15:01,0,6,.000,0,4,.000,0,0,,0,0,0,0,3,0,1,1,0,-2.6,-10
9,Buddy Boeheim,2:10,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+2
10,Jared Rhoden,1:56,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
11,Jaden Ivey,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Stanley Umude,Did Not Play,,,,,,,,,,,,,,,,,,,,
