,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Rui Hachimura,35:37,1.015,1.036,.571,.286,0.0,25.9,16.4,4.5,0.0,5.0,0.0,19.1,187,115,15.9
1,Austin Reaves,35:03,.458,.333,.333,.417,4.6,2.6,3.3,38.1,0.0,0.0,12.3,19.9,120,125,-4.4
2,LeBron James,34:45,.610,.571,.071,.786,0.0,37.2,23.6,48.8,1.3,0.0,17.5,28.3,125,111,3.2
3,Jaxson Hayes,30:30,.888,.857,.000,.286,5.2,18.2,13.4,4.4,1.5,2.9,11.3,12.5,158,115,1.1
4,D'Angelo Russell,29:09,.648,.594,.563,.250,5.5,3.2,4.0,19.7,1.6,0.0,18.4,32.2,111,121,-4.0
5,Spencer Dinwiddie,25:22,.841,.786,.571,.429,6.3,21.8,16.2,5.1,1.8,3.5,19.4,17.5,132,113,4.4
6,Taurean Prince,23:26,.982,1.100,.800,1.200,0.0,3.9,2.5,5.6,0.0,0.0,20.7,17.7,139,124,0.6
7,Cam Reddish,10:11,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0,126,-15.2
8,Max Christie,6:52,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,200,126,-1.3
9,Harry Giles,5:08,.000,.000,.667,.000,0.0,0.0,0.0,0.0,8.9,0.0,0.0,25.2,0,105,-25.6
10,Colin Castleton,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-6.3
11,Maxwell Lewis,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-5.0
12,Skylar Mays,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-6.8
