,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Desmond Bane,39:35,8,17,.471,4,9,.444,6,6,1.000,0,4,4,16,1,0,4,5,26,24.7,-7
1,Jaren Jackson Jr.,34:38,6,16,.375,0,4,.000,5,6,.833,4,5,9,3,3,1,1,5,17,14.9,-26
2,GG Jackson II,28:44,3,9,.333,2,6,.333,2,2,1.000,0,4,4,0,0,0,3,3,10,1.9,-18
3,Santi Aldama,27:17,2,6,.333,2,6,.333,0,0,,1,2,3,1,1,0,0,2,6,4.8,-15
4,Scotty Pippen Jr.,25:37,4,9,.444,2,4,.500,1,2,.500,0,2,2,2,2,1,2,4,11,7.0,-26
5,Jake LaRavia,31:59,9,14,.643,7,9,.778,0,1,.000,4,2,6,4,1,0,4,2,25,20.8,+7
6,Brandon Clarke,20:51,3,7,.429,0,1,.000,0,1,.000,3,2,5,1,1,0,0,1,6,5.9,+15
7,Lamar Stevens,20:30,5,13,.385,0,4,.000,1,1,1.000,0,4,4,2,1,0,0,0,11,7.5,0
8,DeJon Jarreau,9:30,4,4,1.000,0,0,,0,0,,0,1,1,1,0,1,0,1,8,8.1,+8
9,Mãozinha Pereira,1:19,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,+2
10,Vince Williams Jr.,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Ziaire Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,,
