,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Miles McBride,39:35,.853,.853,.824,.000,3.8,6.4,5.2,19.8,1.3,0.0,5.6,19.5,184,114,9.7
1,Josh Hart,34:23,.700,.700,.600,.000,13.1,11.0,12.0,27.5,1.5,0.0,28.6,8.7,162,112,6.2
2,Donte DiVincenzo,33:14,.621,.625,1.000,.167,4.5,15.2,10.3,6.0,3.1,5.5,0.0,16.6,158,104,4.3
3,Jalen Brunson,28:31,.654,.632,.316,.105,5.3,13.3,9.6,32.3,0.0,0.0,0.0,29.9,168,115,5.0
4,Isaiah Hartenstein,18:38,.915,.833,.000,.833,8.1,20.3,14.7,6.1,2.8,4.9,10.9,21.2,174,104,7.6
5,Precious Achiuwa,27:28,.663,.615,.077,.231,32.8,27.6,30.0,12.8,1.9,6.6,17.3,27.0,139,103,0.7
6,Bojan Bogdanović,16:29,.818,.818,.455,.000,0.0,7.7,4.2,16.8,0.0,0.0,0.0,28.6,181,117,12.8
7,Mitchell Robinson,12:26,.840,1.000,.000,1.333,12.1,10.2,11.0,0.0,0.0,14.6,38.7,26.7,91,107,-8.8
8,Shake Milton,10:27,.700,.700,.200,.000,0.0,36.3,19.7,22.3,0.0,0.0,0.0,20.5,172,108,0.1
9,DaQuan Jeffries,7:24,.000,.000,1.000,.000,0.0,0.0,0.0,35.4,0.0,0.0,33.3,17.4,80,119,-14.9
10,Jericho Sims,6:36,.000,.000,.000,.000,22.7,0.0,10.4,0.0,0.0,13.7,0.0,6.5,92,111,-11.5
11,Mamadi Diakite,4:49,,,,,0.0,26.2,14.2,0.0,10.8,0.0,,0.0,0,87,2.3
