,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Deni Avdija,38:45,6,14,.429,2,6,.333,4,4,1.000,2,9,11,9,0,0,5,2,18,15.2,0
1,Corey Kispert,37:58,9,12,.750,5,7,.714,0,0,,1,5,6,0,0,0,1,4,23,17.8,-12
2,Jordan Poole,37:14,3,15,.200,1,8,.125,0,0,,0,3,3,6,0,1,5,3,7,-2.7,-12
3,Kyle Kuzma,36:37,5,22,.227,0,6,.000,2,4,.500,0,8,8,3,0,1,5,1,12,-2.4,-22
4,Marvin Bagley III,27:09,7,9,.778,1,1,1.000,0,0,,3,8,11,1,0,2,0,1,15,17.7,-9
5,Jared Butler,20:17,3,4,.750,0,0,,0,0,,0,1,1,2,1,0,2,1,6,4.7,+11
6,Anthony Gill,17:51,3,8,.375,0,1,.000,0,0,,2,1,3,0,0,0,0,4,6,1.7,+7
7,Johnny Davis,9:59,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,+2
8,Patrick Baldwin Jr.,7:09,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-8
9,Jules Bernard,4:36,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4
10,Tristan Vukcevic,2:24,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+2
11,Tyus Jones,Did Not Dress,,,,,,,,,,,,,,,,,,,,
