,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Donte DiVincenzo,49:00,7,13,.538,6,12,.500,0,0,,0,6,6,2,2,0,0,2,20,18.1,-10
1,Miles McBride,45:52,3,9,.333,1,4,.250,0,0,,2,0,2,3,4,0,1,3,7,7.2,-5
2,Jalen Brunson,43:19,25,47,.532,5,13,.385,6,6,1.000,1,3,4,6,1,0,1,2,61,43.1,+20
3,Josh Hart,41:51,4,13,.308,2,5,.400,2,2,1.000,4,8,12,8,1,0,2,3,12,13.1,+20
4,Isaiah Hartenstein,28:17,3,7,.429,0,0,,1,2,.500,1,3,4,4,1,0,3,6,7,2.9,+10
5,Mitchell Robinson,19:39,3,9,.333,0,0,,1,2,.500,7,5,12,0,0,0,1,1,7,6.5,-10
6,Precious Achiuwa,15:41,3,3,1.000,0,0,,0,0,,2,3,5,0,0,1,1,4,6,5.5,-30
7,Bojan Bogdanović,15:20,2,7,.286,0,3,.000,0,0,,1,1,2,0,0,0,2,2,4,-1.9,-16
8,Shake Milton,6:01,1,2,.500,0,0,,0,0,,0,3,3,1,1,0,0,1,2,3.2,+1
9,Alec Burks,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,,,,,,
