,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Bam Adebayo,37:20,.637,.500,.167,1.000,0.0,29.9,15.3,19.9,2.5,2.6,22.4,26.8,109,103,-0.3
1,Terry Rozier,35:03,.711,.711,.579,.000,0.0,12.7,6.5,11.0,5.4,2.7,0.0,24.4,137,100,11.7
2,Jimmy Butler,34:52,.568,.455,.000,.818,6.7,16.0,11.5,16.6,0.0,0.0,0.0,19.3,134,113,-2.9
3,Duncan Robinson,28:05,.429,.429,1.000,.000,4.2,7.9,6.1,4.7,0.0,3.4,12.5,12.8,87,112,-10.2
4,Nikola Jović,22:27,.607,.556,.667,.222,10.4,29.8,20.4,27.2,2.1,4.3,0.0,19.8,144,103,8.9
5,Haywood Highsmith,29:19,.417,.417,.500,.000,4.0,11.4,7.8,0.0,0.0,3.3,7.7,19.9,80,111,-12.4
6,Delon Wright,21:17,1.197,1.250,.500,2.000,0.0,5.2,2.7,25.4,8.9,4.5,0.0,7.9,246,92,20.0
7,Jaime Jaquez Jr.,19:18,.765,.700,.400,.400,0.0,5.8,3.0,15.3,0.0,5.0,40.5,23.0,92,111,-5.2
8,Thomas Bryant,10:07,.667,.667,.000,.000,0.0,33.1,16.9,0.0,0.0,9.5,40.0,22.2,68,102,-14.2
9,Jamal Cain,0:32,1.500,1.500,1.000,.000,0.0,100.0,100.0,0.0,0.0,0.0,0.0,84.3,300,79,183.7
10,Orlando Robinson,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.9
11,Cole Swider,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.3
12,Alondes Williams,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.0
13,Kevin Love,Did Not Play,,,,,,,,,,,,,,,
14,Patty Mills,Did Not Play,,,,,,,,,,,,,,,
