,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Bam Adebayo,37:20,6,12,.500,0,2,.000,10,12,.833,0,10,10,5,2,1,5,2,22,18.6,+10
1,Terry Rozier,35:03,11,19,.579,5,11,.455,0,0,,0,4,4,2,4,1,0,1,27,25.0,+20
2,Jimmy Butler,34:52,5,11,.455,0,0,,7,9,.778,2,5,7,4,0,0,0,1,17,15.8,-2
3,Duncan Robinson,28:05,2,7,.286,2,7,.286,0,0,,1,2,3,1,0,1,1,4,6,2.0,-6
4,Nikola Jović,22:27,4,9,.444,2,6,.333,2,2,1.000,2,6,8,4,1,1,0,2,12,14.2,+22
5,Haywood Highsmith,29:19,4,12,.333,2,6,.333,0,0,,1,3,4,0,0,1,1,4,10,2.9,0
6,Delon Wright,21:17,2,2,1.000,1,1,1.000,4,4,1.000,0,1,1,4,4,1,0,2,9,15.4,+3
7,Jaime Jaquez Jr.,19:18,3,5,.600,1,2,.500,2,2,1.000,0,1,1,2,0,1,4,0,9,5.1,+2
8,Thomas Bryant,10:07,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,2,3,4,1.1,-1
9,Jamal Cain,0:32,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+3
10,Orlando Robinson,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
11,Cole Swider,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
12,Alondes Williams,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
13,Kevin Love,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,,
