,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Coby White,39:19,8,21,.381,2,7,.286,4,4,1.000,1,2,3,3,1,0,1,4,22,12.3,-9
1,DeMar DeRozan,39:05,10,23,.435,0,3,.000,11,12,.917,0,2,2,5,2,0,3,4,31,20.0,-6
2,Ayo Dosunmu,35:37,7,13,.538,1,5,.200,0,0,,1,2,3,1,1,0,1,2,15,9.9,-10
3,Alex Caruso,32:55,3,13,.231,2,7,.286,0,0,,1,4,5,3,2,2,1,1,8,6.1,-17
4,Nikola Vučević,31:09,2,7,.286,1,2,.500,0,0,,1,13,14,3,1,0,1,4,5,6.0,-12
5,Andre Drummond,20:04,5,8,.625,0,0,,3,6,.500,8,10,18,0,0,0,1,2,13,15.0,-4
6,Torrey Craig,12:38,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,0.3,-12
7,Terry Taylor,9:45,1,2,.500,0,0,,2,2,1.000,2,0,2,0,1,0,0,0,4,5.4,+2
8,Dalen Terry,8:22,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,-3
9,Jevon Carter,6:58,1,4,.250,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,1.3,+1
10,Onuralp Bitim,2:04,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+5
11,Adama Sanogo,2:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
12,Henri Drell,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Andrew Funk,Did Not Play,,,,,,,,,,,,,,,,,,,,
