,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Derrick White,35:38,7,15,.467,4,10,.400,1,1,1.000,2,7,9,5,0,1,2,3,19,15.8,+13
1,Jayson Tatum,34:23,9,19,.474,4,10,.400,3,3,1.000,0,10,10,4,2,1,4,2,25,19.0,+14
2,Jrue Holiday,30:21,1,11,.091,0,8,.000,0,0,,1,4,5,2,0,0,1,2,2,-3.8,+6
3,Kristaps Porziņģis,30:16,6,10,.600,1,3,.333,7,8,.875,2,5,7,5,0,1,1,1,20,20.7,+11
4,Al Horford,24:50,6,11,.545,3,6,.500,0,0,,3,2,5,3,0,0,0,0,15,14.5,+8
5,Payton Pritchard,27:55,3,7,.429,0,4,.000,1,2,.500,1,2,3,5,0,0,1,4,7,5.1,+6
6,Sam Hauser,24:14,9,13,.692,7,11,.636,0,0,,1,4,5,0,0,0,1,2,25,19.6,+7
7,Luke Kornet,13:12,2,2,1.000,0,0,,0,0,,1,3,4,1,1,0,0,0,4,6.7,+1
8,Oshae Brissett,13:12,0,1,.000,0,1,.000,1,2,.500,0,2,2,2,0,0,0,0,1,1.9,+8
9,Xavier Tillman Sr.,4:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-2
10,Svi Mykhailiuk,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
11,Jaden Springer,Did Not Play,,,,,,,,,,,,,,,,,,,,
