,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Mikal Bridges,29:29,.531,.500,.471,.118,0.0,0.0,0.0,33.0,1.6,0.0,0.0,25.5,127,134,5.6
1,Cam Thomas,29:02,.551,.438,.188,.563,0.0,3.7,1.8,11.2,0.0,0.0,4.8,30.3,118,137,-4.9
2,Nic Claxton,25:47,.608,.750,.000,1.000,4.1,41.4,22.8,0.0,0.0,2.6,25.8,12.6,89,124,-6.2
3,Dorian Finney-Smith,22:50,.625,.625,.500,.000,0.0,18.7,9.3,11.4,0.0,2.9,20.0,9.2,112,130,-1.6
4,Dennis Schröder,20:56,.595,.500,.200,.400,10.2,5.1,7.6,25.2,0.0,0.0,25.4,15.8,118,136,-4.2
5,Trendon Watford,33:48,.746,.773,.182,.636,3.2,3.2,3.2,0.0,1.4,2.0,22.1,22.5,112,132,-2.8
6,Jalen Wilson,23:54,.510,.500,.600,.400,0.0,4.5,2.2,5.4,0.0,0.0,14.5,12.1,96,136,-7.1
7,Noah Clowney,21:58,.500,.500,.000,.000,4.9,9.7,7.3,11.9,2.2,0.0,33.3,11.5,86,130,-5.9
8,Lonnie Walker IV,19:45,.504,.500,.462,.154,5.4,32.4,18.9,25.3,0.0,3.4,0.0,29.5,120,126,7.7
9,Day'Ron Sharpe,12:31,.375,.375,.125,.000,51.1,42.6,46.9,0.0,0.0,0.0,20.0,33.5,91,125,-14.3
10,Cameron Johnson,Not With Team,,,,,,,,,,,,,,,
11,Dennis Smith Jr.,Did Not Dress,,,,,,,,,,,,,,,
