,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,CJ McCollum,39:36,6,17,.353,2,6,.333,1,1,1.000,2,3,5,9,0,1,3,1,15,11.4,-3
1,Zion Williamson,36:45,10,20,.500,0,0,,10,13,.769,1,1,2,5,1,0,3,4,30,19.7,-20
2,Herbert Jones,32:38,4,7,.571,1,2,.500,0,0,,0,1,1,3,4,0,0,3,9,10.9,-13
3,Trey Murphy III,32:18,7,14,.500,4,10,.400,3,4,.750,1,5,6,4,2,0,3,0,21,17.6,-18
4,Jonas Valančiūnas,23:49,5,10,.500,0,2,.000,1,4,.250,1,6,7,1,0,0,0,1,11,7.6,-12
5,Dyson Daniels,25:17,4,8,.500,1,3,.333,0,0,,2,5,7,5,2,0,0,3,9,12.2,+10
6,Larry Nance Jr.,19:20,3,7,.429,2,2,1.000,1,1,1.000,5,2,7,1,0,0,0,2,9,9.3,-3
7,Naji Marshall,15:22,2,3,.667,0,0,,0,1,.000,0,1,1,1,1,0,0,3,4,3.1,0
8,Jordan Hawkins,14:55,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,1.6,-6
9,E.J. Liddell,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Jeremiah Robinson-Earl,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Matt Ryan,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Cody Zeller,Did Not Play,,,,,,,,,,,,,,,,,,,,
