,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Caris LeVert,34:02,9,13,.692,2,3,.667,6,7,.857,0,6,6,5,1,1,4,2,26,22.3,+17
1,Jarrett Allen,33:12,8,11,.727,0,0,,5,6,.833,4,8,12,5,1,0,0,0,21,25.8,+26
2,Max Strus,32:41,4,8,.500,3,7,.429,4,4,1.000,0,4,4,6,2,0,2,1,15,16.0,+15
3,Darius Garland,31:52,2,6,.333,2,4,.500,2,2,1.000,0,3,3,8,0,1,2,3,8,8.6,+9
4,Evan Mobley,31:08,9,14,.643,1,2,.500,2,3,.667,3,4,7,5,2,2,1,2,21,22.8,+11
5,Sam Merrill,32:02,6,13,.462,6,12,.500,0,0,,1,3,4,5,0,0,1,1,18,15.0,+15
6,Marcus Morris,19:28,3,6,.500,2,4,.500,0,0,,0,0,0,2,1,1,1,1,8,6.7,+3
7,Georges Niang,18:46,3,10,.300,0,7,.000,2,2,1.000,0,3,3,1,3,0,2,4,8,3.2,-3
8,Damian Jones,4:17,2,3,.667,0,0,,0,0,,1,0,1,1,0,1,0,0,4,4.8,-6
9,Tristan Thompson,2:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-7
10,Isaac Okoro,Did Not Dress,,,,,,,,,,,,,,,,,,,,
