,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Josh Hart,45:35,.333,.333,.000,.000,2.7,17.6,9.2,21.7,2.3,0.0,40.0,5.3,102,122,-2.1
1,Miles McBride,44:45,.711,.688,.500,.125,0.0,7.2,3.1,8.5,0.0,3.0,10.6,20.4,121,128,0.1
2,Jalen Brunson,36:19,.446,.306,.333,.556,0.0,8.8,3.8,46.6,0.0,0.0,18.2,36.5,94,130,-8.5
3,Donte DiVincenzo,35:15,.694,.667,.714,.143,0.0,18.2,7.9,27.2,6.0,0.0,15.2,36.1,113,113,12.4
4,Isaiah Hartenstein,18:20,1.000,1.000,.000,.000,0.0,8.7,3.8,17.6,8.7,7.3,0.0,5.3,210,104,12.5
5,Precious Achiuwa,26:56,.250,.250,.000,.000,13.7,17.8,15.5,0.0,2.0,0.0,0.0,7.2,94,123,-8.4
6,Bojan Bogdanović,19:26,.680,.650,.400,.400,12.7,32.9,21.5,0.0,0.0,0.0,7.8,31.8,125,125,3.3
7,Mitchell Robinson,10:08,.000,.000,.000,2.000,12.1,0.0,6.9,0.0,5.3,0.0,0.0,9.0,40,118,-13.4
8,Alec Burks,3:15,.000,.000,1.000,.000,0.0,98.5,42.8,0.0,0.0,0.0,0.0,14.9,0,112,-17.3
9,Charlie Brown Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,
12,Shake Milton,Did Not Play,,,,,,,,,,,,,,,
13,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,
14,Jacob Toppin,Did Not Play,,,,,,,,,,,,,,,
