,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Nikola Jokić,37:35,.606,.578,.188,.188,9.3,27.4,18.4,38.3,1.3,4.2,10.4,43.7,115,98,13.8
1,Michael Porter Jr.,35:14,.433,.406,.500,.188,5.0,34.1,19.6,11.3,1.4,2.2,5.5,22.1,95,97,-1.2
2,Aaron Gordon,33:03,.863,.833,.333,.250,5.3,13.0,9.2,19.4,1.4,2.4,0.0,17.1,178,105,12.4
3,Kentavious Caldwell-Pope,32:45,.225,.188,.625,.250,0.0,0.0,0.0,7.1,1.5,2.4,0.0,11.5,61,111,-11.1
4,Reggie Jackson,25:53,.346,.346,.231,.000,0.0,0.0,0.0,15.6,0.0,3.0,13.3,24.6,69,114,-13.7
5,Christian Braun,27:28,.425,.300,.600,.400,0.0,6.2,3.1,29.7,0.0,0.0,0.0,9.1,127,113,-0.3
6,Justin Holiday,22:39,.417,.417,.333,.000,3.9,7.6,5.7,5.5,2.1,6.9,0.0,11.2,99,104,-0.2
7,Peyton Watson,19:49,.583,.583,.500,.000,8.8,17.3,13.1,13.6,0.0,7.9,14.3,15.0,115,102,0.5
8,DeAndre Jordan,5:33,,,,,0.0,30.9,15.6,0.0,0.0,0.0,,0.0,0,101,-11.1
9,Collin Gillespie,Did Not Play,,,,,,,,,,,,,,,
10,Jay Huff,Did Not Play,,,,,,,,,,,,,,,
11,Jalen Pickett,Did Not Play,,,,,,,,,,,,,,,
12,Julian Strawther,Did Not Play,,,,,,,,,,,,,,,
13,Hunter Tyson,Did Not Play,,,,,,,,,,,,,,,
