,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,36:58,9,22,.409,5,14,.357,1,1,1.000,1,2,3,8,2,2,0,0,24,22.5,+3
1,Pascal Siakam,34:41,12,27,.444,0,3,.000,2,4,.500,3,6,9,3,1,0,2,3,26,14.9,-20
2,Andrew Nembhard,28:32,3,6,.500,0,1,.000,2,2,1.000,1,1,2,3,1,0,2,2,8,6.3,-11
3,Aaron Nesmith,27:55,4,7,.571,0,3,.000,1,1,1.000,2,3,5,2,0,0,0,5,9,7.4,-4
4,Jalen Smith,22:15,4,11,.364,0,3,.000,0,0,,3,6,9,2,1,2,0,1,8,9.2,-19
5,Ben Sheppard,22:25,2,8,.250,2,7,.286,2,2,1.000,1,0,1,2,2,0,1,0,8,6.3,-5
6,Isaiah Jackson,22:09,3,6,.500,0,0,,0,0,,4,1,5,1,0,2,1,3,6,6.0,+17
7,Obi Toppin,20:00,5,9,.556,3,6,.500,1,1,1.000,3,5,8,1,1,3,2,2,14,14.3,+17
8,T.J. McConnell,19:06,4,6,.667,0,0,,0,0,,1,2,3,5,0,0,1,5,8,7.2,+6
9,Doug McDermott,5:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
10,Kendall Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,James Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jarace Walker,Did Not Play,,,,,,,,,,,,,,,,,,,,
