,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Malik Beasley,38:22,.479,.450,.700,.100,0.0,8.5,3.8,7.3,0.0,0.0,0.0,11.7,108,125,-7.6
1,Brook Lopez,37:52,.816,.821,.500,.214,11.7,14.4,12.9,4.8,0.0,0.0,24.6,23.1,117,123,-1.3
2,Pat Connaughton,34:42,.250,.250,.750,.000,5.1,12.6,8.5,31.4,2.9,0.0,14.3,17.4,82,118,-5.9
3,Giannis Antetokounmpo,32:12,.432,.435,.174,.130,2.8,20.3,10.6,51.6,1.6,11.0,11.0,36.6,95,109,5.1
4,Jae Crowder,24:59,.338,.313,.625,.250,3.6,4.4,3.9,0.0,0.0,2.8,0.0,15.3,79,124,-11.4
5,Bobby Portis,27:47,.594,.594,.313,.000,3.2,23.6,12.3,21.4,1.8,5.1,0.0,24.8,126,113,9.1
6,A.J. Green,21:01,.605,.643,.857,.143,4.2,15.6,9.3,14.7,2.4,3.4,11.8,17.3,113,115,4.4
7,TyTy Washington Jr.,8:55,.750,.750,.500,.000,10.0,12.2,11.0,0.0,0.0,0.0,0.0,9.7,155,124,-2.4
8,Andre Jackson Jr.,7:25,.000,.000,.000,.000,12.0,14.7,13.2,0.0,0.0,9.5,0.0,17.4,24,116,-20.2
9,Danilo Gallinari,6:41,1.136,,,,0.0,16.3,7.3,37.8,0.0,0.0,0.0,5.7,249,123,7.7
10,Thanasis Antetokounmpo,Did Not Play,,,,,,,,,,,,,,,
11,MarJon Beauchamp,Did Not Play,,,,,,,,,,,,,,,
12,Chris Livingston,Did Not Play,,,,,,,,,,,,,,,
13,Ryan Rollins,Did Not Play,,,,,,,,,,,,,,,
