,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Aaron Wiggins,28:41,.437,.409,.091,.091,0.0,4.5,2.2,29.6,1.7,3.2,25.9,24.3,74,140,-8.0
1,Luguentz Dort,28:21,.537,.300,.500,.900,4.2,18.3,11.0,0.0,0.0,3.3,6.7,23.8,108,141,-6.7
2,Cason Wallace,28:15,.558,.444,.333,.444,0.0,4.6,2.2,30.1,7.0,3.3,27.1,23.6,91,128,2.9
3,Josh Giddey,28:14,.715,.682,.182,.182,8.5,18.4,13.2,14.7,0.0,0.0,14.4,22.2,123,143,1.4
4,Chet Holmgren,27:28,.370,.357,.214,.143,4.4,28.3,15.9,13.3,0.0,0.0,6.3,26.1,77,141,-10.3
5,Kenrich Williams,25:27,.389,.389,.333,.000,0.0,5.1,2.4,0.0,1.9,0.0,10.0,17.7,67,142,-12.0
6,Isaiah Joe,20:25,.962,1.000,.600,.800,0.0,19.1,9.2,0.0,2.4,4.5,0.0,14.9,184,134,12.2
7,Gordon Hayward,18:19,.000,.000,.250,.000,0.0,14.2,6.8,15.0,2.7,0.0,0.0,9.9,25,138,-10.4
8,Jaylin Williams,14:52,.621,.333,.667,2.000,8.1,17.5,12.6,40.6,0.0,0.0,0.0,17.1,150,143,9.4
9,Lindy Waters III,10:13,.667,.667,.333,.000,0.0,12.7,6.1,18.3,0.0,0.0,0.0,13.3,135,144,-2.6
10,Mike Muscala,6:06,1.000,1.000,.000,.000,0.0,21.3,10.2,0.0,0.0,15.1,0.0,7.4,200,133,6.2
11,Bismack Biyombo,3:35,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,200,147,3.2
