,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Paolo Banchero,37:45,.538,.458,.250,.542,3.6,16.3,10.3,18.0,1.3,0.0,9.2,39.2,108,116,-1.5
1,Franz Wagner,33:11,.721,.679,.429,.429,0.0,7.4,3.9,24.6,0.0,3.1,19.4,28.1,120,119,4.7
2,Gary Harris,30:11,.000,.000,1.000,.000,4.5,4.1,4.3,7.8,0.0,0.0,25.0,6.0,52,121,-11.8
3,Jalen Suggs,30:00,.509,.583,.333,.333,4.6,12.3,8.6,8.8,3.4,0.0,12.7,11.9,101,112,-3.3
4,Wendell Carter Jr.,24:09,.888,.929,.571,.286,11.4,45.9,29.5,19.2,0.0,0.0,20.2,18.5,142,113,9.7
5,Jonathan Isaac,21:53,.680,.700,.600,.400,6.3,22.5,14.8,12.7,2.3,4.7,0.0,12.1,150,109,7.8
6,Cole Anthony,18:00,.417,.417,.500,.000,0.0,13.7,7.2,44.9,5.6,0.0,14.3,17.6,109,107,8.6
7,Joe Ingles,15:06,.581,.500,1.000,.333,0.0,24.5,12.9,16.8,6.7,0.0,0.0,10.3,140,102,8.9
8,Moritz Wagner,14:56,.872,.833,.222,.333,9.2,16.5,13.0,17.4,0.0,0.0,0.0,31.2,176,119,19.7
9,Markelle Fultz,14:48,.727,.667,.000,.333,0.0,8.3,4.4,0.0,3.4,0.0,22.5,13.6,105,112,-6.6
10,Goga Bitadze,Did Not Play,,,,,,,,,,,,,,,
11,Anthony Black,Did Not Play,,,,,,,,,,,,,,,
12,Chuma Okeke,Did Not Play,,,,,,,,,,,,,,,
13,Admiral Schofield,Did Not Play,,,,,,,,,,,,,,,
