,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Fred VanVleet,33:23,.519,.286,.429,.857,0.0,19.8,8.0,39.1,7.6,0.0,9.4,13.8,132,127,4.8
1,Jabari Smith Jr.,31:45,.640,.588,.588,.235,3.5,10.4,6.3,12.6,0.0,0.0,9.6,28.2,122,148,2.1
2,Jalen Green,29:47,.505,.458,.667,.167,3.7,16.7,9.0,38.2,1.7,0.0,23.7,24.5,98,142,-1.8
3,Amen Thompson,29:40,.481,.429,.000,.429,7.5,11.2,9.0,5.2,1.7,0.0,19.4,15.0,93,143,-10.5
4,Dillon Brooks,23:40,.444,.444,.667,.000,0.0,0.0,0.0,0.0,4.3,0.0,0.0,16.4,95,140,-7.3
5,Cam Whitmore,23:20,.525,.464,.429,.357,4.8,21.3,11.4,0.0,0.0,4.6,11.0,33.7,99,143,-6.8
6,Aaron Holiday,17:34,.750,.750,1.000,.000,0.0,0.0,0.0,8.9,0.0,0.0,0.0,9.8,155,150,-3.5
7,Jeff Green,17:14,.469,.200,.600,1.600,6.5,0.0,3.9,8.4,3.0,0.0,0.0,21.3,119,143,-3.2
8,Jock Landale,15:24,.800,.800,.000,.000,36.2,10.7,26.0,13.2,3.3,0.0,0.0,14.0,182,140,8.5
9,Reggie Bullock,6:52,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,150,-11.8
10,Jeenathan Williams,4:44,.500,.500,.000,.000,0.0,69.9,28.2,0.0,0.0,0.0,0.0,36.5,100,133,-4.8
11,Boban Marjanović,3:55,.694,.500,.000,1.000,28.5,0.0,17.0,51.6,0.0,0.0,25.8,42.8,124,150,8.0
12,Jae'Sean Tate,2:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,150,-16.3
