,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jalen Brunson,41:35,.540,.482,.179,.357,2.5,12.0,7.3,60.5,2.4,0.0,13.4,39.0,108,111,8.0
1,Donte DiVincenzo,33:03,.417,.417,.583,.000,3.1,9.1,6.1,14.4,0.0,2.1,14.3,18.4,83,116,-3.7
2,Isaiah Hartenstein,29:30,.654,.600,.000,1.200,10.4,13.6,12.0,10.5,5.0,2.3,34.4,17.1,99,103,1.3
3,OG Anunoby,28:41,.750,.750,.500,.000,0.0,3.5,1.8,0.0,3.4,0.0,11.1,13.6,120,112,4.1
4,Josh Hart,11:26,.000,.000,.000,.000,0.0,8.7,4.4,11.7,0.0,0.0,0.0,7.6,30,117,-10.6
5,Miles McBride,37:38,.771,.727,.636,.273,0.0,18.6,9.4,9.0,0.0,0.0,7.5,15.4,141,113,4.9
6,Bojan Bogdanović,20:17,.455,.389,.444,.222,0.0,4.9,2.5,8.2,0.0,0.0,16.8,25.4,80,119,-9.6
7,Precious Achiuwa,18:34,.000,.000,.500,.000,5.5,16.2,10.9,7.2,2.7,0.0,33.3,7.0,39,108,-9.1
8,Mitchell Robinson,11:06,.470,.500,.000,.750,27.6,18.0,22.8,15.8,4.4,0.0,0.0,20.8,122,103,6.0
9,Alec Burks,8:10,.000,.000,.500,.000,0.0,24.5,12.4,0.0,0.0,0.0,33.3,15.9,0,110,-21.6
10,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,
12,Shake Milton,Did Not Play,,,,,,,,,,,,,,,
13,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,
14,Jacob Toppin,Did Not Play,,,,,,,,,,,,,,,
