,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Deandre Ayton,40:27,13,25,.520,0,0,,8,9,.889,3,10,13,3,2,2,2,0,34,29.9,+8
1,Jabari Walker,39:24,2,6,.333,2,4,.500,5,8,.625,3,10,13,3,0,0,3,3,11,9.4,0
2,Rayan Rupert,31:59,1,8,.125,1,5,.200,0,0,,1,6,7,4,2,1,1,5,3,2.8,+1
3,Scoot Henderson,30:27,8,14,.571,2,4,.500,1,1,1.000,0,3,3,7,1,0,3,5,19,14.2,-3
4,Kris Murray,28:05,6,13,.462,1,5,.200,0,1,.000,5,0,5,0,0,0,2,2,13,6.6,+6
5,Dalano Banton,33:34,8,20,.400,2,6,.333,3,5,.600,2,6,8,8,0,0,1,3,21,16.0,+14
6,Justin Minaya,25:29,1,4,.250,0,2,.000,0,0,,2,2,4,2,2,2,0,2,2,5.6,+3
7,Duop Reath,10:35,2,4,.500,1,3,.333,0,0,,0,2,2,2,0,0,0,3,5,3.8,+1
8,Moses Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,
9,Shaedon Sharpe,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Anfernee Simons,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Matisse Thybulle,Did Not Dress,,,,,,,,,,,,,,,,,,,,
