,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Damian Lillard,37:52,10,24,.417,4,12,.333,12,14,.857,0,5,5,6,1,0,7,6,36,19.7,-10
1,Khris Middleton,33:43,9,16,.563,2,6,.333,1,2,.500,1,4,5,6,3,0,2,5,21,18.1,-11
2,Malik Beasley,24:01,1,7,.143,1,5,.200,0,0,,0,4,4,2,1,0,1,0,3,1.1,-12
3,Brook Lopez,20:09,6,12,.500,1,4,.250,2,3,.667,2,2,4,1,0,2,1,2,15,10.9,-16
4,Jae Crowder,17:56,2,3,.667,0,0,,0,0,,2,3,5,1,1,0,0,0,4,6.7,-13
5,Pat Connaughton,33:27,2,6,.333,0,4,.000,0,0,,1,3,4,2,2,2,0,3,4,5.8,+9
6,Bobby Portis,27:51,8,18,.444,1,4,.250,2,2,1.000,6,4,10,1,0,1,1,1,19,15.0,+10
7,A.J. Green,22:40,2,5,.400,2,5,.400,0,0,,0,3,3,0,0,0,1,2,6,2.4,+2
8,Andre Jackson Jr.,16:13,1,2,.500,1,2,.500,0,0,,0,4,4,1,0,1,0,3,3,3.4,+9
9,Danilo Gallinari,6:08,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-0.5,+2
10,Thanasis Antetokounmpo,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Chris Livingston,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Ryan Rollins,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,TyTy Washington Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
