,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Donovan Mitchell,38:06,4,13,.308,2,9,.222,0,2,.000,0,5,5,7,3,2,5,2,10,6.7,+10
1,Darius Garland,34:55,11,25,.440,4,9,.444,0,0,,1,1,2,2,5,0,1,1,26,18.9,-16
2,Jarrett Allen,33:45,6,12,.500,0,0,,0,0,,5,7,12,3,1,0,1,2,12,12.9,-5
3,Max Strus,29:37,2,8,.250,1,5,.200,0,0,,2,4,6,4,0,0,2,1,5,3.2,+2
4,Evan Mobley,28:56,2,6,.333,1,2,.500,3,4,.750,1,2,3,3,2,1,3,3,8,6.1,-11
5,Caris LeVert,28:15,8,14,.571,1,3,.333,4,4,1.000,1,6,7,2,0,0,1,0,21,17.3,-11
6,Georges Niang,22:33,5,6,.833,2,3,.667,0,0,,0,1,1,1,0,0,2,2,12,8.0,-18
7,Sam Merrill,12:25,0,4,.000,0,4,.000,0,0,,0,2,2,1,0,0,0,0,0,-1.5,-20
8,Marcus Morris,4:30,1,2,.500,0,0,,1,2,.500,1,0,1,1,0,0,1,0,3,2.0,-13
9,Damian Jones,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
10,Isaiah Mobley,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
11,Pete Nance,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
12,Craig Porter Jr.,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
13,Tristan Thompson,0:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
