,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Aaron Nesmith,39:40,.563,.458,.417,.417,3.5,11.8,8.0,9.6,0.0,4.2,6.6,18.2,116,123,-1.6
1,Myles Turner,37:19,.709,.583,.500,.667,3.7,37.6,22.0,7.1,0.0,4.5,0.0,19.7,149,117,7.4
2,Tyrese Haliburton,32:57,.510,.400,.700,.400,0.0,14.2,7.7,29.4,0.0,5.1,20.3,21.2,101,121,-1.7
3,Pascal Siakam,32:28,.537,.500,.200,.267,8.4,21.6,15.6,4.4,0.0,0.0,0.0,24.5,114,124,-4.3
4,Andrew Nembhard,24:53,.714,.714,.143,.000,0.0,9.4,5.1,11.2,6.1,0.0,0.0,13.3,143,113,4.8
5,T.J. McConnell,26:33,.786,.786,.071,.000,0.0,0.0,0.0,37.5,1.9,0.0,12.5,28.6,135,124,8.2
6,Ben Sheppard,19:57,.000,.000,1.000,.000,0.0,5.9,3.2,10.9,0.0,0.0,0.0,7.1,39,127,-12.0
7,Obi Toppin,15:32,.929,.929,.571,.000,0.0,22.6,12.2,21.6,0.0,0.0,0.0,21.4,173,124,16.1
8,Jalen Smith,10:41,.333,.333,.333,.000,0.0,11.0,5.9,25.7,0.0,0.0,0.0,26.6,82,126,-7.4
9,Kendall Brown,Did Not Play,,,,,,,,,,,,,,,
10,James Johnson,Did Not Play,,,,,,,,,,,,,,,
11,Doug McDermott,Did Not Play,,,,,,,,,,,,,,,
12,Oscar Tshiebwe,Did Not Play,,,,,,,,,,,,,,,
13,Jarace Walker,Did Not Play,,,,,,,,,,,,,,,
