,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Cam Thomas,36:06,.543,.500,.389,.167,0.0,10.6,5.3,6.9,1.4,0.0,17.2,28.8,87,112,-1.5
1,Noah Clowney,34:52,.394,.375,.000,.250,2.8,24.8,13.8,5.3,1.4,0.0,10.1,12.6,78,107,-5.9
2,Jalen Wilson,32:11,.511,.500,.444,.444,0.0,17.9,8.9,18.6,1.5,3.2,21.8,19.1,83,107,-0.2
3,Dennis Schröder,30:13,.155,.083,.500,.167,0.0,22.2,11.1,33.5,0.0,3.5,7.2,20.5,49,110,-9.1
4,Mikal Bridges,24:21,.667,.667,.500,.000,3.9,15.8,9.9,16.4,0.0,0.0,14.3,12.8,116,114,0.2
5,Trendon Watford,32:50,.444,.444,.278,.000,8.8,11.7,10.2,14.8,0.0,3.2,18.2,29.9,77,113,-4.8
6,Lonnie Walker IV,25:27,.276,.200,.400,.200,0.0,11.3,5.7,0.0,1.9,4.1,8.4,20.8,53,108,-9.3
7,Day'Ron Sharpe,24:00,.400,.400,.200,.000,8.0,8.0,8.0,15.4,2.0,4.3,16.7,11.1,87,109,-3.3
8,Nic Claxton,Did Not Dress,,,,,,,,,,,,,,,
9,Dorian Finney-Smith,Did Not Dress,,,,,,,,,,,,,,,
10,Cameron Johnson,Did Not Dress,,,,,,,,,,,,,,,
11,Dennis Smith Jr.,Did Not Dress,,,,,,,,,,,,,,,
