,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Immanuel Quickley,36:23,9,15,.600,3,7,.429,10,10,1.000,0,7,7,13,1,0,4,5,31,30.3,+22
1,RJ Barrett,36:11,9,19,.474,0,3,.000,4,6,.667,2,6,8,7,0,1,6,3,22,13.1,-4
2,Gary Trent Jr.,35:06,9,16,.563,2,4,.500,0,0,,0,7,7,5,3,0,0,0,20,21.0,+18
3,Kelly Olynyk,34:33,8,12,.667,2,5,.400,3,4,.750,2,7,9,5,3,1,2,4,21,22.5,+17
4,Ochai Agbaji,27:34,3,7,.429,0,3,.000,3,6,.500,0,3,3,1,1,1,0,3,9,6.2,+17
5,Gradey Dick,24:30,5,9,.556,3,5,.600,0,0,,0,4,4,0,0,0,0,2,13,9.1,+4
6,Bruce Brown,19:41,4,7,.571,0,2,.000,1,2,.500,0,2,2,1,1,0,0,3,9,6.4,-7
7,Garrett Temple,8:48,2,3,.667,1,1,1.000,0,0,,2,0,2,1,0,1,1,3,5,4.3,-4
8,Javon Freeman-Liberty,8:40,0,5,.000,0,1,.000,0,0,,1,3,4,0,0,0,0,1,0,-2.3,-12
9,Malik Williams,4:40,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,-1
10,Jalen McDaniels,3:54,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-1.4,-10
11,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,,
