,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Omer Yurtseven,37:16,.672,.643,.071,.143,12.6,19.6,16.3,10.6,2.8,0.0,16.8,20.8,121,114,3.3
1,Luka Šamanić,34:52,.472,.433,.200,.133,10.1,20.9,15.8,14.9,0.0,0.0,5.9,21.0,109,120,-1.0
2,Johnny Juzang,31:45,.313,.313,.500,.000,0.0,6.6,3.5,13.8,0.0,0.0,11.1,12.3,76,124,-10.3
3,Keyonte George,30:02,.455,.455,.818,.000,3.9,6.9,5.5,27.0,0.0,0.0,31.3,23.1,78,125,-9.1
4,Taylor Hendricks,21:43,.300,.300,.400,.000,5.4,19.2,12.7,6.5,2.4,3.9,0.0,10.0,87,113,-1.8
5,Talen Horton-Tucker,32:20,.522,.522,.348,.000,0.0,9.7,5.1,14.0,1.6,2.6,14.8,36.2,92,116,-2.0
6,Darius Bazley,25:19,.592,.400,.400,.800,4.6,16.5,10.9,0.0,2.0,0.0,0.0,11.6,137,117,-1.3
7,Brice Sensabaugh,20:40,.446,.278,.222,.556,5.7,20.2,13.3,14.8,0.0,0.0,0.0,23.5,114,119,-2.5
8,Jason Preston,6:03,.000,.000,.000,.000,0.0,0.0,0.0,22.0,0.0,0.0,0.0,7.2,53,127,-10.3
9,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,
10,Kenneth Lofton Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Micah Potter,Did Not Play,,,,,,,,,,,,,,,
