,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Chimezie Metu,34:46,.350,.350,.400,.000,9.4,21.7,16.0,9.2,0.0,0.0,23.1,16.2,73,123,-9.8
1,Jaden Ivey,31:46,.636,.647,.529,.353,10.3,5.9,8.0,27.6,0.0,2.5,20.3,33.7,107,128,4.7
2,Jalen Duren,27:32,.512,.417,.000,.500,0.0,37.6,20.2,13.8,0.0,0.0,12.0,26.2,98,116,-4.3
3,Marcus Sasser,26:50,.460,.400,.400,.200,4.1,7.0,5.6,31.2,0.0,0.0,21.6,22.5,92,129,-7.6
4,Troy Brown Jr.,22:35,.000,.000,.500,.000,4.8,8.3,6.7,0.0,4.4,0.0,0.0,3.8,36,118,-4.9
5,Evan Fournier,26:21,.823,.773,.455,.364,0.0,10.7,5.8,0.0,1.9,6.0,0.0,21.0,162,120,14.9
6,Malachi Flynn,21:10,.667,.667,.444,.000,0.0,0.0,0.0,40.0,0.0,0.0,18.2,22.6,116,132,-0.7
7,James Wiseman,20:28,.524,.200,.000,1.200,5.3,23.0,14.8,14.8,0.0,0.0,11.6,18.3,115,122,-3.3
8,Jared Rhoden,14:40,.200,.200,.400,.000,0.0,6.4,3.4,0.0,0.0,10.7,0.0,14.8,44,122,-13.1
9,Jaylen Nowell,10:27,.500,.500,.000,.000,0.0,9.0,4.8,15.6,0.0,0.0,0.0,8.3,120,128,-3.8
10,Buddy Boeheim,3:25,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0,132,-19.8
11,Cade Cunningham,Did Not Dress,,,,,,,,,,,,,,,
12,Taj Gibson,Did Not Play,,,,,,,,,,,,,,,
13,Stanley Umude,Did Not Dress,,,,,,,,,,,,,,,
