,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Kevin Durant,39:57,8,22,.364,2,5,.400,3,5,.600,0,2,2,2,2,0,1,2,21,10.2,-14
1,Devin Booker,39:45,1,11,.091,0,4,.000,10,11,.909,1,2,3,5,2,0,3,2,12,7.3,-7
2,Bradley Beal,39:18,6,13,.462,1,2,.500,6,6,1.000,2,5,7,3,1,5,2,2,19,19.0,-11
3,Grayson Allen,31:25,3,13,.231,0,8,.000,3,4,.750,1,5,6,2,3,0,0,3,9,6.1,-2
4,Drew Eubanks,12:14,3,6,.500,0,0,,0,0,,3,2,5,1,1,0,0,0,6,7.4,-20
5,Royce O'Neale,28:58,3,10,.300,2,7,.286,2,2,1.000,0,11,11,4,2,1,0,3,10,11.8,+8
6,Eric Gordon,28:53,4,9,.444,3,8,.375,0,0,,0,0,0,0,4,1,2,0,11,9.0,-4
7,Thaddeus Young,7:32,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-10
8,Bol Bol,7:18,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,0,1,2,2.2,-13
9,Nassir Little,1:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
10,Josh Okogie,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
11,Isaiah Thomas,1:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
12,Ish Wainright,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
13,Udoka Azubuike,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,David Roddy,Did Not Play,,,,,,,,,,,,,,,,,,,,
