,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Trey Murphy III,37:52,9,17,.529,5,12,.417,8,8,1.000,1,7,8,3,2,0,0,1,31,29.2,+22
1,Herbert Jones,37:47,1,5,.200,1,4,.250,4,4,1.000,2,2,4,2,2,0,1,2,7,7.5,+29
2,CJ McCollum,33:48,10,19,.526,5,10,.500,4,4,1.000,1,4,5,3,2,0,1,0,29,24.7,+18
3,Zion Williamson,33:13,7,18,.389,0,0,,8,9,.889,2,5,7,3,1,1,2,1,22,16.1,+11
4,Jonas Valančiūnas,20:48,5,12,.417,0,2,.000,1,2,.500,2,6,8,5,2,0,0,0,11,12.9,+18
5,Dyson Daniels,28:05,2,4,.500,0,1,.000,0,0,,0,6,6,5,1,1,3,1,4,5.6,-6
6,Jose Alvarado,19:41,1,6,.167,0,5,.000,0,0,,0,0,0,1,1,0,0,2,2,-0.9,+1
7,Larry Nance Jr.,19:34,0,2,.000,0,1,.000,2,2,1.000,4,0,4,2,2,0,1,0,2,5.8,-3
8,Jeremiah Robinson-Earl,2:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-10
9,Jordan Hawkins,2:20,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-10
10,Matt Ryan,2:20,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-10
11,Cody Zeller,2:11,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-10
12,Malcolm Hill,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,E.J. Liddell,Did Not Play,,,,,,,,,,,,,,,,,,,,
