,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,De'Aaron Fox,42:42,.536,.534,.586,.138,0.0,21.9,9.2,34.6,2.3,0.0,6.1,29.6,118,113,9.4
1,Keegan Murray,38:17,.444,.406,.625,.125,6.6,21.4,12.8,9.4,0.0,0.0,0.0,17.0,117,118,0.0
2,Keon Ellis,35:39,.765,.765,.882,.000,4.7,13.1,8.2,32.2,2.7,5.4,22.7,23.8,121,108,15.0
3,Domantas Sabonis,33:53,.397,.286,.000,1.000,19.9,17.3,18.8,23.5,1.4,0.0,33.2,17.2,89,115,-6.7
4,Harrison Barnes,26:43,.403,.125,.500,1.250,6.3,17.5,11.0,0.0,1.8,0.0,7.5,19.3,98,114,-5.6
5,Trey Lyles,22:02,.214,.214,.714,.000,11.5,21.3,15.6,0.0,4.4,4.4,12.5,14.0,63,105,-4.8
6,Davion Mitchell,21:34,.383,.350,.600,.100,0.0,5.4,2.3,16.9,0.0,0.0,8.7,20.5,91,120,-8.6
7,Alex Len,10:18,,,,,16.4,22.7,19.0,28.2,0.0,9.3,100.0,3.7,108,109,-1.3
8,Colby Jones,8:50,.347,.000,.500,1.000,9.5,0.0,5.5,16.5,0.0,0.0,25.8,16.9,84,120,-13.7
9,Chris Duarte,Did Not Play,,,,,,,,,,,,,,,
10,Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,
11,Mason Jones,Did Not Play,,,,,,,,,,,,,,,
12,JaVale McGee,Did Not Play,,,,,,,,,,,,,,,
13,Jalen Slawson,Did Not Play,,,,,,,,,,,,,,,
14,Sasha Vezenkov,Did Not Play,,,,,,,,,,,,,,,
