,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jordan Goodwin,36:09,5,15,.333,0,2,.000,0,0,,8,11,19,5,0,0,1,1,10,12.5,-7
1,Scotty Pippen Jr.,31:30,4,15,.267,0,5,.000,6,7,.857,2,5,7,5,4,1,3,2,14,12.0,-3
2,Trey Jemison,30:10,6,14,.429,0,0,,2,2,1.000,5,4,9,2,1,1,1,3,14,12.2,-4
3,GG Jackson II,27:36,4,17,.235,2,8,.250,1,2,.500,1,3,4,2,0,1,0,1,11,3.6,-14
4,Brandon Clarke,27:00,7,12,.583,0,1,.000,0,0,,0,1,1,0,1,1,0,1,14,10.0,-13
5,Timmy Allen,31:27,3,9,.333,0,3,.000,0,0,,1,3,4,2,2,0,0,4,6,4.3,-11
6,Zavier Simpson,30:37,5,15,.333,2,6,.333,0,0,,0,3,3,5,1,0,2,0,12,6.9,-10
7,Jack White,25:31,2,7,.286,2,5,.400,0,0,,0,2,2,0,1,1,0,1,6,3.8,-13
8,Santi Aldama,Did Not Dress,,,,,,,,,,,,,,,,,,,,
9,Luke Kennard,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Lamar Stevens,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Ziaire Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,,
