,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Vit Krejci,33:29,8,14,.571,3,8,.375,0,0,,1,3,4,2,2,0,3,2,19,13.6,-5
1,Garrison Mathews,30:38,4,12,.333,2,9,.222,0,0,,0,3,3,4,0,0,0,0,10,6.9,+14
2,Bogdan Bogdanović,22:03,6,11,.545,5,10,.500,2,2,1.000,0,1,1,8,1,0,2,2,19,17.8,+12
3,Clint Capela,20:55,7,10,.700,0,0,,1,2,.500,0,6,6,0,1,0,0,0,15,13.2,+14
4,Trae Young,20:38,5,5,1.000,2,2,1.000,2,2,1.000,0,4,4,11,1,0,5,1,14,17.0,+16
5,Dylan Windler,26:24,4,7,.571,4,7,.571,0,0,,2,1,3,1,0,0,1,1,12,9.7,-20
6,Bruno Fernando,24:56,1,3,.333,0,0,,3,6,.500,0,6,6,0,0,0,2,5,5,-0.1,-14
7,Kobe Bufkin,23:51,4,12,.333,1,3,.333,2,3,.667,1,1,2,1,0,1,1,5,11,3.2,-9
8,Trent Forrest,19:57,3,5,.600,0,0,,0,1,.000,1,1,2,5,1,0,2,0,6,6.8,-13
9,Mouhamed Gueye,17:09,1,3,.333,1,1,1.000,0,0,,2,5,7,3,1,1,0,4,3,6.4,0
10,Wesley Matthews,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Dejounte Murray,Did Not Dress,,,,,,,,,,,,,,,,,,,,
