,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jarrett Allen,33:37,7,13,.538,0,1,.000,2,2,1.000,6,4,10,5,0,3,1,1,16,19.3,-2
1,Donovan Mitchell,33:36,9,17,.529,5,10,.500,6,7,.857,1,3,4,8,3,1,3,2,29,27.4,+2
2,Evan Mobley,31:27,4,10,.400,2,4,.500,2,2,1.000,3,9,12,1,3,4,4,1,12,13.5,+12
3,Darius Garland,30:40,5,13,.385,2,9,.222,4,5,.800,0,6,6,9,0,1,3,2,16,13.5,+23
4,Max Strus,29:42,3,5,.600,2,3,.667,0,1,.000,1,5,6,1,1,0,0,2,8,8.4,-1
5,Caris LeVert,27:31,6,13,.462,2,4,.500,4,4,1.000,0,2,2,2,2,0,1,3,18,13.1,+12
6,Isaac Okoro,26:33,2,5,.400,1,4,.250,2,6,.333,0,4,4,0,1,0,0,1,7,4.5,+13
7,Georges Niang,17:57,1,3,.333,1,2,.500,1,2,.500,0,2,2,1,0,1,1,2,4,2.1,+19
8,Emoni Bates,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
9,Isaiah Mobley,1:50,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-4
10,Pete Nance,1:50,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-4
11,Craig Porter Jr.,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
12,Damian Jones,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
13,Marcus Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,,,,,,
