,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Rudy Gobert,38:46,.781,.857,.000,.429,14.7,33.5,23.5,11.1,2.7,2.1,19.4,12.7,143,119,3.1
1,Anthony Edwards,34:52,.593,.556,.333,.389,0.0,7.4,3.5,19.2,0.0,0.0,4.5,30.3,123,133,0.9
2,Jaden McDaniels,33:30,.563,.563,.500,.000,0.0,7.7,3.6,12.2,1.6,0.0,0.0,11.4,127,130,-1.5
3,Naz Reid,30:21,.307,.316,.211,.263,3.8,21.4,12.0,10.0,3.4,2.7,0.0,33.4,74,120,-12.7
4,Mike Conley,30:14,.792,.792,.750,.000,3.8,12.9,8.0,10.6,1.7,0.0,20.0,23.8,121,129,5.1
5,Nickeil Alexander-Walker,18:14,.625,.625,.250,.000,6.3,0.0,3.3,14.7,2.9,0.0,33.3,15.8,99,129,-3.0
6,Kyle Anderson,15:13,.340,.200,.200,.400,0.0,8.5,4.0,16.7,0.0,10.9,0.0,18.5,94,123,-6.5
7,Monte Morris,14:46,.750,.750,.500,.000,0.0,8.8,4.1,9.4,0.0,5.6,0.0,13.0,152,129,5.3
8,Jordan McLaughlin,10:24,,,,,0.0,0.0,0.0,11.3,5.0,0.0,,0.0,232,124,-0.9
9,Luka Garza,2:44,,,,,0.0,0.0,0.0,0.0,19.1,0.0,,0.0,0,91,3.6
10,Leonard Miller,2:44,.798,1.000,.000,2.000,0.0,94.9,44.5,74.9,0.0,0.0,0.0,32.9,173,111,27.0
11,Josh Minott,2:44,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,250,135,48.5
12,Wendell Moore Jr.,2:44,.000,.000,1.000,.000,0.0,0.0,0.0,42.8,0.0,0.0,0.0,17.5,61,135,-11.3
13,Daishen Nix,2:44,1.330,1.500,1.000,2.000,41.8,0.0,22.2,74.9,0.0,0.0,34.7,50.5,177,132,46.7
14,T.J. Warren,Did Not Play,,,,,,,,,,,,,,,
