,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Josh Giddey,28:37,7,12,.583,1,3,.333,5,5,1.000,0,12,12,7,1,0,3,1,20,20.5,+22
1,Shai Gilgeous-Alexander,26:15,10,18,.556,1,3,.333,5,5,1.000,0,6,6,5,0,0,1,1,26,21.3,+26
2,Cason Wallace,24:30,0,5,.000,0,4,.000,0,0,,0,4,4,3,3,1,0,1,0,3.1,+24
3,Jalen Williams,23:35,5,11,.455,0,2,.000,0,0,,0,7,7,2,3,1,1,1,10,10.1,+25
4,Chet Holmgren,14:37,3,8,.375,1,2,.500,2,2,1.000,1,5,6,2,1,0,0,3,9,8.0,+8
5,Gordon Hayward,19:49,6,8,.750,2,3,.667,4,6,.667,0,1,1,0,1,0,3,1,18,11.9,+23
6,Aaron Wiggins,17:13,2,6,.333,2,2,1.000,1,2,.500,0,2,2,3,2,0,1,1,7,6.5,+17
7,Kenrich Williams,15:24,1,6,.167,1,3,.333,0,0,,0,1,1,3,0,0,1,0,3,0.6,+11
8,Mike Muscala,15:14,0,4,.000,0,1,.000,0,0,,2,2,4,2,0,0,1,3,0,-1.6,-1
9,Jaylin Williams,13:19,3,4,.750,2,2,1.000,0,1,.000,2,6,8,3,1,1,0,1,8,12.6,+22
10,Isaiah Joe,12:25,3,6,.500,2,4,.500,0,0,,1,2,3,0,0,2,1,2,8,5.9,+9
11,Bismack Biyombo,12:00,3,3,1.000,0,0,,0,0,,1,5,6,0,0,1,0,0,6,8.0,+4
12,Lindy Waters III,8:31,3,6,.500,3,6,.500,0,0,,0,2,2,0,0,0,0,1,9,6.2,0
13,Adam Flagler,8:31,1,4,.250,1,3,.333,0,0,,0,0,0,3,0,0,0,0,3,2.7,0
