,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Garrett Temple,35:42,.250,.250,.500,.000,9.4,6.1,8.0,16.0,2.9,0.0,33.3,10.9,76,116,-8.2
1,Ochai Agbaji,34:24,.543,.500,.167,.167,0.0,3.2,1.4,4.5,0.0,0.0,0.0,8.1,121,124,-8.7
2,Immanuel Quickley,33:43,.581,.500,.458,.333,2.5,19.4,9.9,61.7,1.5,2.8,12.7,40.5,119,112,9.8
3,Gradey Dick,33:30,.600,.600,.700,.000,2.5,9.8,5.7,0.0,0.0,0.0,4.8,27.1,115,121,-1.4
4,Malik Williams,24:07,.350,.350,.100,.000,17.5,40.7,27.6,6.9,4.3,0.0,9.1,19.7,93,99,-7.2
5,Javon Freeman-Liberty,23:48,.676,.625,.500,.250,3.5,13.8,8.0,7.5,2.2,0.0,0.0,16.1,147,115,3.7
6,Mouhamadou Gueye,23:05,.202,.143,.000,.143,3.6,14.2,8.2,6.3,2.2,12.5,0.0,13.9,63,108,-10.3
7,Jordan Nwora,18:05,.506,.500,.500,.200,4.7,18.1,10.5,21.8,0.0,5.3,0.0,26.0,117,115,3.4
8,Jalen McDaniels,13:34,.315,.000,.333,1.333,6.2,0.0,3.5,0.0,3.8,0.0,0.0,15.2,86,116,-13.5
9,Chris Boucher,Did Not Dress,,,,,,,,,,,,,,,
10,Bruce Brown,Did Not Dress,,,,,,,,,,,,,,,
11,Gary Trent Jr.,Did Not Dress,,,,,,,,,,,,,,,
