,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Noah Clowney,38:30,5,8,.625,0,2,.000,0,0,,2,5,7,1,1,7,2,0,10,13.9,+5
1,Cam Thomas,36:54,7,22,.318,5,10,.500,4,4,1.000,1,3,4,0,0,1,2,3,23,9.5,-2
2,Dennis Schröder,36:10,7,18,.389,2,8,.250,5,5,1.000,2,5,7,9,2,0,1,4,21,19.8,+5
3,Nic Claxton,32:46,6,7,.857,0,0,,2,4,.500,2,9,11,4,0,5,3,1,14,17.7,-7
4,Mikal Bridges,22:42,3,9,.333,3,8,.375,2,2,1.000,1,2,3,2,0,0,1,0,11,7.6,+1
5,Cameron Johnson,26:46,4,8,.500,1,4,.250,4,4,1.000,0,3,3,1,1,0,2,4,13,8.0,+6
6,Jalen Wilson,19:30,1,3,.333,0,2,.000,0,0,,2,4,6,2,0,0,0,2,2,3.5,+3
7,Trendon Watford,15:32,2,5,.400,0,2,.000,2,5,.400,0,7,7,5,0,0,0,1,6,7.3,+3
8,Day'Ron Sharpe,11:08,3,6,.500,0,0,,0,0,,4,4,8,1,0,2,2,1,6,6.7,+6
9,Jacob Gilyard,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Keon Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Lonnie Walker IV,Did Not Play,,,,,,,,,,,,,,,,,,,,
