,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Fred VanVleet,40:05,12,30,.400,9,13,.692,9,10,.900,3,4,7,7,2,1,2,3,42,33.1,+12
1,Amen Thompson,35:24,6,12,.500,0,1,.000,3,4,.750,6,4,10,4,2,0,1,0,15,17.8,-1
2,Dillon Brooks,27:05,4,14,.286,0,5,.000,0,0,,3,1,4,1,2,0,1,5,8,1.9,-6
3,Jabari Smith Jr.,25:45,3,6,.500,1,4,.250,0,0,,0,3,3,2,0,2,0,1,7,7.3,-2
4,Jalen Green,18:42,1,7,.143,1,5,.200,0,0,,0,1,1,1,0,0,3,2,3,-4.3,-23
5,Jock Landale,27:17,3,3,1.000,1,1,1.000,2,2,1.000,1,0,1,2,1,1,1,4,9,9.3,+10
6,Cam Whitmore,26:50,5,11,.455,4,8,.500,4,4,1.000,0,4,4,4,0,2,2,2,18,14.9,+6
7,Jeff Green,22:04,4,7,.571,3,5,.600,2,2,1.000,1,5,6,0,0,0,0,1,13,11.5,-1
8,Aaron Holiday,11:19,2,5,.400,2,5,.400,0,0,,2,0,2,1,0,0,0,0,6,5.4,+2
9,Reggie Bullock,5:29,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,-12
10,Nate Hinton,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Jermaine Samuels,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jeenathan Williams,Did Not Play,,,,,,,,,,,,,,,,,,,,
