,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,De'Aaron Fox,40:45,.737,.694,.389,.556,0.0,18.4,8.2,28.5,2.3,0.0,21.1,31.3,123,132,3.2
1,Keegan Murray,35:33,.638,.607,.714,.143,6.8,12.7,9.4,3.6,2.7,0.0,0.0,18.8,132,132,2.2
2,Domantas Sabonis,34:50,.654,.667,.000,.333,6.9,34.4,19.1,15.8,2.7,0.0,22.5,22.9,112,130,-0.9
3,Harrison Barnes,32:30,.693,.667,.400,.133,3.7,18.5,10.3,18.1,1.5,0.0,0.0,22.0,146,134,5.4
4,Keon Ellis,23:19,.500,.500,.600,.000,0.0,6.4,2.9,0.0,0.0,0.0,0.0,9.6,96,139,-8.1
5,Davion Mitchell,27:08,.732,.750,.250,.250,0.0,11.1,4.9,23.8,0.0,0.0,10.1,16.4,142,139,2.4
6,Trey Lyles,14:40,.750,.750,1.000,.000,0.0,10.2,4.5,16.6,0.0,0.0,0.0,12.3,155,139,6.1
7,Alex Len,11:23,1.000,1.000,.000,.000,0.0,13.2,5.9,10.1,0.0,0.0,50.0,7.9,106,138,-7.6
8,Sasha Vezenkov,10:55,.500,.500,.800,.000,0.0,27.5,12.2,0.0,0.0,0.0,0.0,20.6,95,137,-8.3
9,Chris Duarte,4:10,.000,.000,1.000,.000,0.0,0.0,0.0,25.0,0.0,0.0,0.0,21.6,36,140,-20.5
10,Colby Jones,2:49,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.9,0,139,-44.7
11,Kessler Edwards,1:14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-6.1
12,Jalen Slawson,0:44,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-6.4
13,Mason Jones,Did Not Play,,,,,,,,,,,,,,,
