,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Donte DiVincenzo,41:18,7,15,.467,3,7,.429,0,0,,0,4,4,4,1,0,1,1,17,12.9,-8
1,Isaiah Hartenstein,33:05,5,11,.455,0,0,,1,3,.333,7,6,13,6,1,2,4,4,11,12.2,0
2,Josh Hart,31:58,7,15,.467,1,4,.250,1,1,1.000,2,14,16,5,1,0,1,2,16,16.6,+18
3,Jalen Brunson,30:02,15,23,.652,6,11,.545,3,5,.600,0,2,2,4,0,0,2,2,39,28.7,+28
4,OG Anunoby,25:58,5,10,.500,2,3,.667,0,0,,1,4,5,1,1,1,1,1,12,9.9,+20
5,Bojan Bogdanović,25:09,6,10,.600,2,6,.333,0,0,,1,2,3,0,1,0,1,0,14,10.7,-2
6,Miles McBride,21:41,1,6,.167,0,4,.000,0,0,,0,0,0,4,1,0,1,1,2,0.6,-9
7,Precious Achiuwa,16:02,1,6,.167,0,1,.000,0,0,,2,3,5,0,0,1,1,0,2,0.2,-9
8,Mitchell Robinson,14:47,2,3,.667,0,0,,1,1,1.000,4,0,4,0,1,0,0,1,5,7.1,+7
9,Alec Burks,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,Mamadi Diakite,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Shake Milton,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Jericho Sims,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Jacob Toppin,Did Not Play,,,,,,,,,,,,,,,,,,,,
