,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jayson Tatum,31:48,5,13,.385,1,7,.143,7,9,.778,1,3,4,7,2,1,2,3,18,16.1,-30
1,Jrue Holiday,28:50,3,7,.429,1,4,.250,0,0,,1,4,5,1,1,2,2,2,7,5.5,-26
2,Jaylen Brown,28:38,6,15,.400,1,5,.200,2,3,.667,1,1,2,1,0,2,3,3,15,5.4,-29
3,Derrick White,28:38,1,5,.200,0,3,.000,0,0,,0,2,2,2,1,1,1,3,2,0.4,-29
4,Kristaps Porziņģis,25:19,5,12,.417,2,5,.400,2,2,1.000,2,6,8,1,0,2,1,2,14,11.1,-14
5,Sam Hauser,22:04,5,8,.625,3,5,.600,2,2,1.000,1,3,4,3,0,1,0,0,15,15.8,+16
6,Payton Pritchard,20:50,7,13,.538,2,4,.500,0,0,,2,2,4,6,0,0,0,0,16,15.9,+22
7,Al Horford,15:32,2,3,.667,2,3,.667,0,0,,0,2,2,1,1,2,1,2,6,6.6,-18
8,Svi Mykhailiuk,12:47,3,5,.600,3,4,.750,0,0,,1,1,2,2,0,0,0,0,9,9.1,+21
9,Jaden Springer,12:47,1,2,.500,1,2,.500,0,0,,0,1,1,0,2,0,1,1,3,2.9,+21
10,Luke Kornet,6:44,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,1,0,2,1.7,+15
11,Xavier Tillman Sr.,6:03,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+6
