,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Jarrett Allen,38:06,.828,.929,.000,.571,8.8,34.0,20.5,11.2,0.0,0.0,10.2,21.5,149,120,6.9
1,Donovan Mitchell,37:33,.565,.519,.370,.185,5.9,6.9,6.4,18.4,5.0,0.0,3.3,33.8,125,113,8.2
2,Evan Mobley,29:15,.857,.857,.143,.000,3.8,17.7,10.3,8.2,0.0,2.9,12.5,11.5,153,120,-0.5
3,Darius Garland,28:38,.727,.727,.455,.000,0.0,9.1,4.2,16.8,0.0,0.0,26.7,22.0,108,124,-2.3
4,Max Strus,27:57,.309,.250,.500,.300,8.0,13.9,10.7,33.2,1.7,0.0,0.0,17.0,115,120,0.9
5,Caris LeVert,26:43,.581,.542,.167,.333,8.4,19.4,13.5,22.9,1.8,0.0,6.8,23.2,131,119,3.8
6,Georges Niang,26:37,.450,.450,.800,.000,0.0,24.4,11.3,0.0,3.6,0.0,0.0,15.8,96,114,-3.6
7,Isaac Okoro,25:09,.658,.500,.250,.750,4.4,0.0,2.4,0.0,1.9,3.3,0.0,8.9,150,118,-0.9
8,Emoni Bates,Did Not Play,,,,,,,,,,,,,,,
9,Damian Jones,Did Not Play,,,,,,,,,,,,,,,
10,Isaiah Mobley,Did Not Play,,,,,,,,,,,,,,,
11,Marcus Morris,Did Not Play,,,,,,,,,,,,,,,
12,Pete Nance,Did Not Play,,,,,,,,,,,,,,,
13,Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,
14,Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,
