,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Malik Beasley,29:42,7,10,.700,3,5,.600,0,0,,0,2,2,2,0,0,2,1,17,12.4,-2
1,Patrick Beverley,24:16,2,5,.400,0,0,,2,2,1.000,0,3,3,7,1,0,1,2,6,8.3,-6
2,Brook Lopez,23:29,7,14,.500,2,7,.286,2,2,1.000,2,0,2,1,0,1,0,2,18,13.0,-9
3,Khris Middleton,22:58,7,10,.700,2,2,1.000,2,2,1.000,0,7,7,6,1,0,2,1,18,18.7,-11
4,Bobby Portis,21:17,2,7,.286,0,0,,0,0,,3,5,8,3,0,1,2,1,4,3.9,-16
5,Jae Crowder,24:40,1,8,.125,1,4,.250,0,0,,1,4,5,1,0,0,1,0,3,-0.6,-2
6,Danilo Gallinari,19:14,3,8,.375,0,2,.000,5,5,1.000,1,3,4,0,1,0,3,1,11,5.8,-12
7,Pat Connaughton,16:10,3,6,.500,1,4,.250,1,2,.500,0,1,1,2,0,0,1,2,8,4.5,-19
8,Chris Livingston,14:04,3,3,1.000,0,0,,0,0,,1,4,5,0,0,0,1,3,6,4.8,-1
9,TyTy Washington Jr.,14:04,1,5,.200,0,2,.000,0,0,,0,1,1,2,1,0,0,0,2,1.6,-1
10,Andre Jackson Jr.,11:55,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,3,2,0,-4.6,-20
11,MarJon Beauchamp,7:35,3,4,.750,1,2,.500,0,0,,0,2,2,1,0,1,0,0,7,7.4,-1
12,Thanasis Antetokounmpo,6:56,2,2,1.000,0,0,,0,0,,0,0,0,1,1,0,1,0,4,4.1,+2
13,Ryan Rollins,3:39,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,2,0,0,0,3,5.4,+8
