,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Shai Gilgeous-Alexander,28:40,.461,.333,.333,.429,4.0,26.4,14.7,14.2,0.0,3.0,0.0,38.8,107,113,-7.2
1,Luguentz Dort,27:05,.698,.643,1.000,.286,0.0,4.7,2.2,12.8,5.4,0.0,0.0,13.0,150,107,5.1
2,Jalen Williams,26:47,.660,.625,.250,.167,0.0,9.4,4.5,26.0,1.8,3.3,7.2,23.1,133,112,4.4
3,Gordon Hayward,25:41,.676,.750,.000,.250,8.9,19.7,14.0,9.0,3.8,0.0,18.4,9.4,130,108,0.5
4,Chet Holmgren,25:00,.768,.731,.308,.231,13.7,30.3,21.6,19.4,2.0,10.5,12.3,29.1,142,102,11.6
5,Aaron Wiggins,24:13,.713,.708,.167,.250,4.7,10.4,7.4,19.1,4.0,0.0,7.0,26.3,137,109,6.6
6,Cason Wallace,19:14,.600,.600,.800,.000,0.0,6.6,3.1,11.9,5.1,0.0,0.0,11.6,131,107,2.5
7,Jaylin Williams,16:08,.625,.625,.625,.000,0.0,15.7,7.4,17.0,3.0,0.0,11.1,24.8,113,110,1.4
8,Kenrich Williams,14:15,1.250,1.250,.500,.000,0.0,26.6,12.6,8.4,3.4,0.0,0.0,6.2,245,107,7.1
9,Isaiah Joe,14:02,.000,.000,1.000,.000,8.1,9.0,8.6,21.8,0.0,0.0,33.3,9.5,75,118,-12.8
10,Lindy Waters III,6:22,1.000,1.000,1.000,.000,0.0,19.8,9.4,47.2,0.0,0.0,25.0,28.0,147,116,19.7
11,Ousmane Dieng,5:12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.6,0,120,-18.8
12,Mike Muscala,3:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.2,0,120,-21.1
13,Olivier Sarr,3:39,,,,,0.0,34.6,16.4,0.0,0.0,0.0,,0.0,0,114,-6.9
14,Bismack Biyombo,Did Not Play,,,,,,,,,,,,,,,
