,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Kevin Durant,41:53,.657,.625,.350,.150,3.6,10.4,7.5,12.6,0.0,0.0,12.3,27.5,118,121,1.1
1,Devin Booker,41:15,.739,.667,.333,.417,3.6,7.9,6.1,21.9,0.0,0.0,22.0,20.9,126,121,-0.5
2,Grayson Allen,38:02,.713,.667,.667,.250,0.0,8.6,5.0,15.6,0.0,0.0,18.4,20.3,120,121,2.1
3,Bradley Beal,33:54,.744,.731,.231,.077,8.8,22.5,16.8,20.8,3.0,2.7,18.2,22.9,128,108,8.6
4,Jusuf Nurkić,31:43,.694,.600,.000,1.000,4.7,31.0,19.9,12.8,1.6,5.7,35.7,16.7,102,107,2.2
5,Royce O'Neale,24:27,.500,.500,1.000,.000,0.0,13.4,7.7,10.9,0.0,0.0,0.0,11.6,114,120,-2.0
6,Eric Gordon,17:03,.200,.200,.800,.000,0.0,0.0,0.0,22.7,3.0,5.3,0.0,13.9,78,112,-0.6
7,Drew Eubanks,11:39,.333,.333,.000,.000,12.9,56.2,37.9,0.0,0.0,0.0,25.0,16.2,66,108,-8.2
8,Bol Bol,Did Not Play,,,,,,,,,,,,,,,
9,Saben Lee,Did Not Play,,,,,,,,,,,,,,,
10,Nassir Little,Did Not Play,,,,,,,,,,,,,,,
11,Josh Okogie,Did Not Play,,,,,,,,,,,,,,,
12,David Roddy,Did Not Play,,,,,,,,,,,,,,,
13,Isaiah Thomas,Did Not Play,,,,,,,,,,,,,,,
14,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,
