,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,RJ Barrett,32:36,.781,.750,.222,.556,3.9,36.8,20.8,24.7,0.0,0.0,11.8,36.1,137,132,10.6
1,Gradey Dick,30:45,.571,.571,.714,.000,0.0,3.9,2.0,0.0,0.0,0.0,0.0,10.5,110,137,-5.4
2,Immanuel Quickley,30:16,.588,.500,.636,.364,0.0,15.9,8.1,25.9,0.0,0.0,19.0,24.1,107,135,-4.7
3,Gary Trent Jr.,28:39,.269,.269,.538,.000,0.0,4.2,2.1,5.2,0.0,0.0,7.1,22.6,56,136,-18.9
4,Kelly Olynyk,24:59,.508,.429,.000,.286,15.2,38.4,27.1,36.9,0.0,0.0,33.7,22.0,99,131,-4.3
5,Ochai Agbaji,25:17,.700,.700,.400,.000,0.0,4.7,2.4,12.1,2.0,4.2,0.0,9.2,146,128,4.2
6,Bruce Brown,21:30,1.017,1.000,.333,.333,0.0,22.3,11.4,34.6,0.0,0.0,22.5,19.1,154,134,9.3
7,Malik Williams,19:06,.000,.000,.000,.000,13.2,12.6,12.9,0.0,0.0,0.0,33.3,7.3,47,135,-15.1
8,Javon Freeman-Liberty,15:11,.340,.200,.600,.400,0.0,7.9,4.1,18.7,0.0,0.0,25.4,24.0,66,136,-15.9
9,Garrett Temple,7:48,.644,.667,.333,.667,16.2,15.4,15.8,0.0,0.0,0.0,0.0,23.0,135,135,-1.0
10,Jordan Nwora,3:53,,,,,0.0,30.9,15.8,0.0,0.0,0.0,100.0,11.9,0,133,-19.6
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,
