,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Pascal Siakam,25:25,13,18,.722,1,2,.500,1,2,.500,2,4,6,1,1,0,2,3,28,21.3,+27
1,Tyrese Haliburton,25:25,5,10,.500,0,4,.000,2,3,.667,0,2,2,13,3,1,2,3,12,16.8,+27
2,Andrew Nembhard,22:43,4,5,.800,2,3,.667,0,0,,0,2,2,5,1,0,1,3,10,11.0,+31
3,Myles Turner,21:54,13,17,.765,3,4,.750,2,2,1.000,3,9,12,0,0,4,1,2,31,30.1,+26
4,Aaron Nesmith,19:49,3,3,1.000,1,1,1.000,1,1,1.000,0,3,3,1,1,0,0,3,8,8.5,+24
5,Ben Sheppard,25:30,3,6,.500,1,3,.333,0,0,,2,2,4,2,1,0,0,1,7,8.0,+17
6,Jalen Smith,19:17,4,4,1.000,2,2,1.000,0,0,,3,2,5,2,0,1,2,2,10,10.8,+10
7,Doug McDermott,18:27,6,9,.667,3,5,.600,0,0,,1,0,1,1,0,0,0,0,15,12.5,+10
8,T.J. McConnell,15:09,7,11,.636,3,4,.750,0,0,,0,4,4,8,0,0,1,2,17,17.1,+7
9,Obi Toppin,12:27,2,6,.333,1,4,.250,2,2,1.000,1,1,2,3,1,0,2,1,7,5.3,+11
10,Jarace Walker,10:08,3,5,.600,2,3,.667,0,0,,0,5,5,1,1,0,1,0,8,7.9,+4
11,Kendall Brown,10:08,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,1,4,1.6,+4
12,Quenton Jackson,6:48,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,1,0,1.6,+6
13,James Johnson,6:48,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-1.8,+6
14,Isaiah Jackson,Did Not Play,,,,,,,,,,,,,,,,,,,,
