,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,JT Thor,41:06,8,11,.727,3,6,.500,1,2,.500,0,9,9,4,2,3,0,2,20,23.9,+11
1,Marques Bolden,29:52,7,10,.700,0,1,.000,0,0,,4,4,8,2,1,4,1,1,14,17.6,+5
2,Bryce McGowens,29:43,6,14,.429,2,6,.333,4,4,1.000,1,2,3,4,0,1,0,0,18,15.4,-7
3,Tre Mann,24:14,4,11,.364,3,6,.500,0,0,,0,4,4,6,1,0,2,2,11,8.5,-3
4,Vasilije Micić,9:30,1,4,.250,1,3,.333,0,0,,0,1,1,4,0,0,1,0,3,2.7,-8
5,Nick Smith Jr.,32:34,9,20,.450,6,11,.545,0,0,,1,5,6,3,1,0,1,0,24,17.9,+9
6,Leaky Black,32:02,4,4,1.000,2,2,1.000,1,1,1.000,0,6,6,5,2,1,0,3,11,16.6,+22
7,Amari Bailey,21:38,4,10,.400,1,2,.500,2,2,1.000,4,1,5,5,2,0,1,1,11,12.8,+17
8,Aleksej Pokusevski,19:21,3,7,.429,1,3,.333,1,2,.500,0,5,5,3,1,0,3,2,8,4.7,+4
9,Dāvis Bertāns,Did Not Dress,,,,,,,,,,,,,,,,,,,,
10,Nick Richards,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Grant Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,,
