,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Max Strus,30:35,.583,.583,.500,.000,9.6,26.8,17.4,47.8,0.0,0.0,20.0,21.2,125,126,6.0
1,Isaac Okoro,29:03,.799,.750,.667,.333,0.0,12.1,5.5,25.4,0.0,0.0,0.0,10.2,179,130,4.5
2,Evan Mobley,25:24,.474,.385,.077,.308,11.6,13.8,12.6,27.3,0.0,0.0,0.0,25.1,125,130,-0.4
3,Jarrett Allen,22:34,1.000,1.000,.000,.000,4.3,31.1,16.5,14.6,4.5,0.0,30.0,19.2,125,114,5.4
4,Craig Porter Jr.,9:30,.500,.500,.000,.000,0.0,37.0,16.8,25.9,5.3,9.9,0.0,9.1,137,103,7.1
5,Emoni Bates,29:25,.292,.292,.417,.000,0.0,11.9,5.4,12.5,0.0,0.0,33.3,26.5,49,130,-23.6
6,Georges Niang,22:34,.889,.889,.778,.000,0.0,5.2,2.4,6.8,0.0,0.0,0.0,17.3,166,132,5.6
7,Marcus Morris,18:48,.389,.389,.444,.000,5.2,12.5,8.5,0.0,0.0,0.0,10.0,23.0,76,130,-18.1
8,Isaiah Mobley,16:14,.583,.611,.333,.111,12.1,7.2,9.9,0.0,3.1,0.0,9.6,27.8,105,124,-2.9
9,Damian Jones,12:00,.625,.625,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,121,133,-8.4
10,Pete Nance,12:00,.500,.500,.333,.000,0.0,9.8,4.4,0.0,0.0,0.0,0.0,10.8,101,131,-10.6
11,Tristan Thompson,11:53,.381,.429,.000,.286,16.5,9.9,13.5,0.0,0.0,0.0,0.0,28.7,89,131,-16.1
