,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Nikola Jokić,30:47,7,11,.636,0,0,,1,2,.500,4,11,15,5,4,0,4,1,15,18.9,+19
1,Aaron Gordon,26:05,4,6,.667,0,1,.000,7,8,.875,3,2,5,5,0,1,1,2,15,17.1,+25
2,Kentavious Caldwell-Pope,24:50,5,6,.833,1,2,.500,0,1,.000,0,4,4,3,0,1,2,1,11,10.0,+23
3,Jamal Murray,24:16,7,14,.500,3,7,.429,4,4,1.000,2,4,6,4,0,1,2,1,21,17.7,+27
4,Michael Porter Jr.,24:16,5,12,.417,2,8,.250,0,0,,0,5,5,4,0,2,2,0,12,9.3,+27
5,Christian Braun,24:57,6,14,.429,2,6,.333,5,6,.833,5,5,10,5,2,0,1,2,19,19.9,-7
6,Reggie Jackson,23:44,3,9,.333,2,6,.333,3,3,1.000,0,0,0,2,0,0,2,3,11,4.1,-12
7,Peyton Watson,20:32,5,7,.714,1,1,1.000,0,0,,1,1,2,1,1,0,1,3,11,8.6,-7
8,Justin Holiday,19:11,1,5,.200,1,5,.200,0,0,,0,1,1,3,1,0,1,1,3,1.9,-7
9,Zeke Nnaji,17:13,3,5,.600,0,0,,0,0,,1,3,4,0,1,0,0,3,6,5.1,-4
10,Braxton Key,1:23,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,2.6,-3
11,Julian Strawther,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
12,Hunter Tyson,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
13,DeAndre Jordan,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Jalen Pickett,Did Not Play,,,,,,,,,,,,,,,,,,,,
