,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Paolo Banchero,35:03,8,19,.421,2,6,.333,8,9,.889,0,11,11,7,0,0,3,1,26,20.3,+16
1,Franz Wagner,32:39,10,21,.476,1,5,.200,4,4,1.000,1,4,5,3,3,0,0,1,25,20.9,+25
2,Jalen Suggs,27:56,1,3,.333,0,2,.000,2,2,1.000,0,2,2,4,1,1,1,3,4,5.2,+13
3,Gary Harris,27:47,1,4,.250,1,4,.250,0,0,,0,0,0,2,1,0,1,3,3,0.8,+12
4,Jonathan Isaac,26:09,4,11,.364,2,7,.286,0,0,,2,6,8,2,1,3,0,2,10,10.8,+9
5,Cole Anthony,17:03,5,9,.556,1,3,.333,2,2,1.000,2,3,5,4,2,0,1,3,13,13.6,+13
6,Joe Ingles,16:49,1,1,1.000,1,1,1.000,0,0,,0,3,3,2,1,0,1,0,3,5.0,+14
7,Wendell Carter Jr.,14:17,3,3,1.000,1,1,1.000,0,0,,2,0,2,0,0,0,0,1,7,7.1,+27
8,Moritz Wagner,12:44,5,6,.833,0,0,,0,0,,0,1,1,1,0,0,1,1,10,7.4,-1
9,Markelle Fultz,5:58,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,0.6,-2
10,Anthony Black,5:16,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,0,5,3.0,+1
11,Caleb Houstan,5:16,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,1,1,0,0,5,6.4,+1
12,Jett Howard,5:16,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,0.9,+1
13,Goga Bitadze,3:53,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,0.5,-2
14,Chuma Okeke,3:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-2
