,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
0,Tue Oct 24 2023,7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Box Score,,19842.0,2:17,Ball Arena,
1,Tue Oct 24 2023,10:00p,Phoenix Suns,108,Golden State Warriors,104,Box Score,,18064.0,2:33,Chase Center,
2,Wed Oct 25 2023,7:00p,Houston Rockets,86,Orlando Magic,116,Box Score,,18846.0,2:14,Kia Center,
3,Wed Oct 25 2023,7:00p,Boston Celtics,108,New York Knicks,104,Box Score,,19812.0,2:39,Madison Square Garden (IV),
4,Wed Oct 25 2023,7:00p,Washington Wizards,120,Indiana Pacers,143,Box Score,,16004.0,2:07,Gainbridge Fieldhouse,
5,Wed Oct 25 2023,7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Box Score,,16129.0,2:22,Spectrum Center,
6,Wed Oct 25 2023,7:30p,Detroit Pistons,102,Miami Heat,103,Box Score,,19695.0,2:14,Kaseya Center,
7,Wed Oct 25 2023,7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Box Score,,19800.0,2:10,Scotiabank Arena,
8,Wed Oct 25 2023,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Box Score,,17931.0,2:18,Barclays Center,
9,Wed Oct 25 2023,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,Box Score,,17798.0,2:20,FedEx Forum,
10,Wed Oct 25 2023,8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,Box Score,,21369.0,2:05,United Center,
11,Wed Oct 25 2023,9:00p,Sacramento Kings,130,Utah Jazz,114,Box Score,,18206.0,2:18,Delta Center,
12,Wed Oct 25 2023,9:30p,Dallas Mavericks,126,San Antonio Spurs,119,Box Score,,18947.0,2:20,Frost Bank Center,
13,Wed Oct 25 2023,10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Box Score,,19370.0,2:09,Crypto.com Arena,
14,Thu Oct 26 2023,7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Box Score,,17783.0,2:40,Fiserv Forum,
15,Thu Oct 26 2023,10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Box Score,,18997.0,2:26,Crypto.com Arena,
16,Fri Oct 27 2023,7:00p,Denver Nuggets,108,Memphis Grizzlies,104,Box Score,,16617.0,2:20,FedEx Forum,
17,Fri Oct 27 2023,7:00p,Detroit Pistons,111,Charlotte Hornets,99,Box Score,,15855.0,2:24,Spectrum Center,
18,Fri Oct 27 2023,7:30p,New York Knicks,126,Atlanta Hawks,120,Box Score,,17692.0,2:11,State Farm Arena,
19,Fri Oct 27 2023,7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,Box Score,,19432.0,2:27,Rocket Mortgage Fieldhouse,
20,Fri Oct 27 2023,7:30p,Miami Heat,111,Boston Celtics,119,Box Score,,19156.0,2:20,TD Garden,
21,Fri Oct 27 2023,8:00p,Toronto Raptors,103,Chicago Bulls,104,Box Score,OT,19555.0,2:45,United Center,
22,Fri Oct 27 2023,8:00p,Houston Rockets,122,San Antonio Spurs,126,Box Score,OT,18354.0,2:38,Frost Bank Center,
23,Fri Oct 27 2023,8:30p,Brooklyn Nets,120,Dallas Mavericks,125,Box Score,,20238.0,2:14,American Airlines Center,
24,Fri Oct 27 2023,9:30p,Los Angeles Clippers,118,Utah Jazz,120,Box Score,,18206.0,2:15,Delta Center,
25,Fri Oct 27 2023,10:00p,Orlando Magic,102,Portland Trail Blazers,97,Box Score,,19464.0,2:19,Moda Center,
26,Fri Oct 27 2023,10:00p,Golden State Warriors,122,Sacramento Kings,114,Box Score,,18250.0,2:22,Golden 1 Center,
27,Sat Oct 28 2023,7:00p,Chicago Bulls,102,Detroit Pistons,118,Box Score,,20062.0,2:10,Little Caesars Arena,
